Fold,LIWC_Accuracy,LIWC_Time
1,0.9979899497487437,0.2043299674987793
2,0.9949748743718593,0.18407320976257324
3,0.9909547738693467,0.18908309936523438
4,0.9969849246231156,0.17643117904663086
5,0.993963782696177,0.17498421669006348
Mean,0.9949736610618485,0.18578033447265624
Std,0.00246229521411223,0.010600700754863834
